symbol,gene_id,treatment_splicing_P,treatment_over_time_splicing_P
IA-2,FBgn0031294,0.999884493,9.24E-17
Jabba,FBgn0259682,0.991039171,3.48E-13
siz,FBgn0026179,0.890159547,1.66E-11
CG9990,FBgn0039594,0.670895384,1.14E-09
lig,FBgn0020279,0.142749309,2.39E-09
CG31635,FBgn0051635,0.000273977,3.34E-09
CG9649,FBgn0038211,0.614449501,1.00E-08
raw,FBgn0003209,0.026006108,1.00E-08
osp,FBgn0003016,0.822423884,1.08E-08
RpL10,FBgn0024733,0.858334818,3.36E-08
cwo,FBgn0259938,0.447425731,7.19E-08
Adk1,FBgn0022709,0.203889841,7.81E-08
wupA,FBgn0283471,0.979946423,1.31E-07
CG14655,FBgn0037275,0.413505865,1.75E-07
VhaAC39-1,FBgn0285910,0.328398765,2.36E-07
kay,FBgn0001297,0.727203076,2.82E-07
Syp,FBgn0038826,0.33161609,3.28E-07
CG34398,FBgn0085427,0.862881278,3.65E-07
CG1674,FBgn0039897,0.302067885,3.94E-07
Rim,FBgn0053547,0.030977345,6.01E-07
Frq1,FBgn0030897,0.094452639,6.42E-07
Paip2,FBgn0038100,0.082697374,1.04E-06
CG11779,FBgn0038683,0.53799728,1.35E-06
PR-Set7,FBgn0011474,0.092173369,1.70E-06
Rbp6,FBgn0260943,0.134516941,2.77E-06
REPTOR-BP,FBgn0032202,0.573770399,3.21E-06
Slob,FBgn0264087,0.84893389,3.30E-06
mRpL21,FBgn0036853,0.713968738,4.91E-06
CG40198,FBgn0058198,0.222498827,5.47E-06
Fkbp14,FBgn0010470,0.999731415,6.06E-06
CG9813,FBgn0038143,0.443033123,6.20E-06
Inos,FBgn0025885,0.715246127,6.36E-06
14-3-3zeta,FBgn0004907,0.980404967,8.91E-06
Tep2,FBgn0041182,0.0059838,8.94E-06
Pak,FBgn0267698,0.651641111,9.07E-06
JIL-1,FBgn0020412,0.395943085,9.68E-06
Prm,FBgn0003149,0.420699248,1.01943E-05
MRP,FBgn0032456,0.000259014,1.04623E-05
Nf-YC,FBgn0029905,0.018406373,1.12655E-05
CG7900,FBgn0037548,0.267097487,1.17675E-05
CG9297,FBgn0038181,0.853731547,1.38546E-05
santa-maria,FBgn0025697,0.238431599,1.44384E-05
beta4GalNAcTA,FBgn0027538,0.170162245,1.51816E-05
cl,FBgn0000318,0.631775189,1.64782E-05
CG8170,FBgn0033365,0.103907166,1.99074E-05
CG10383,FBgn0032699,0.544096506,2.16367E-05
Lcch3,FBgn0010240,0.807498608,2.30254E-05
Rpt5,FBgn0028684,6.54E-07,2.80203E-05
Ptpmeg,FBgn0261985,0.087905086,2.9685E-05
